Feature,RF_Importance,MI_Importance,p_value,t_statistic,truthful_mean,deceitful_mean,difference,effect_size,RF_Importance_norm,MI_Importance_norm,effect_size_norm,combined_score
metric_total_time,0.024452249324120778,0.02399058562969114,0.00015427611613285318,3.8055756548438806,0.13460660961903528,-0.14750305125918287,-0.28210966087821815,0.2866532143378697,0.7038895739638555,0.35011612831351585,0.6195939891708426,0.5578665638160714
metric_decision_path_efficiency,0.029148109894075715,0.0,2.0511061163102405e-06,-4.788795006235431,-0.16926717658146406,0.18548439110423987,0.35475156768570393,0.3616690072637739,0.8390659846149071,0.0,0.7817388110844424,0.5402682652331166
metric_pause_count,0.025539266852768715,0.013024574719131765,0.00019817996545688692,3.7413007637085243,0.13299552640100448,-0.14573761276277766,-0.2787331391637822,0.28248952312062037,0.7351807772797186,0.19007929793713915,0.6105942713168842,0.5119514488445807
velocity_accel_ratio,0.029777613777086317,0.03082256501081937,0.17152477253282686,-1.3690742154235982,-0.05037660525387286,0.05520310635604028,0.10557971160991314,0.1047255957355902,0.8571870668166918,0.44982132961873217,0.22636184206058305,0.5111234128320024
x_std,0.03172979430872531,0.02777005741104288,0.26881638514309375,1.106673773517985,0.03984771458183898,-0.043665459691476546,-0.08351317427331553,0.08372472464912312,0.9133831044286758,0.4052733490492772,0.1809689671801016,0.49987514021935153
metric_final_decision_path_efficiency,0.02528822167453739,0.0,9.773470587364943e-06,-4.454905797986389,-0.1580588625052447,0.17320222657760323,0.3312610890828479,0.33673903921712955,0.7279541176293685,0.0,0.727853288162255,0.4852691352638745
path_efficiency,0.02305097112753459,0.0,9.773470587364943e-06,-4.454905797986389,-0.1580588625052447,0.17320222657760323,0.3312610890828479,0.33673903921712955,0.663551971491149,0.0,0.727853288162255,0.4638017532178013
normalized_jerk,0.027566678517173968,0.02054480595586483,0.06590035851539985,1.8446334736751184,0.06357258633331114,-0.06966337304787981,-0.13323595938119095,0.13654805807991044,0.7935424402004314,0.2998287757226567,0.29514532469028226,0.4628388468711235
total_distance,0.018758140128828534,0.029193850765950824,0.012500415385743263,2.504185151105797,0.0897550055920774,-0.09835428756497071,-0.1881092931570481,0.1893552007342099,0.5399772875132083,0.4260520421847185,0.4092866862287098,0.45843867197554555
xy_covariance,0.027805914171421454,0.03079820203289585,0.5364572545390792,-0.6184884095308266,-0.022366554170883537,0.024509457564501128,0.046876011735384665,0.04687921558075519,0.8004291474523126,0.4494657788357528,0.1013282905547477,0.4504077389476044
total_pause_duration,0.015683907036879143,0.031144520691631872,0.013139949088027509,2.4863302064533404,0.08897518554850928,-0.0974997542238154,-0.18647493977232468,0.1878492399684464,0.4514815179553846,0.4545199175646266,0.40603158845996695,0.4373443413266594
hesitations_count,0.010895573482061336,0.02976445785187165,0.0038537208292153836,2.8998073957955945,0.1031270686047877,-0.11300750631542623,-0.21613457492021393,0.21856630919583164,0.31364315301720397,0.4343794230496361,0.47242579060486234,0.40681612222390084
mean_velocity,0.01674457227534583,0.009852469047025858,0.0003220416152623696,3.6163648186815447,0.12743131716794415,-0.13964030563912444,-0.2670716228070686,0.27173341487432784,0.4820141365675348,0.14378591545528094,0.5873452035132396,0.4043817518453518
metric_total_pause_time,0.019838645946330474,0.005717856227538842,0.0007117377794782161,3.400529609286218,0.12063859758406356,-0.13219678657415349,-0.25283538415821705,0.25627174604477654,0.5710810428146341,0.08344580309709589,0.5539251803278427,0.40281734207985753
total_hesitation_duration,0.02203685419796042,0.0037334828744683968,0.0022440662447182178,3.0674984857950993,0.10896843127516195,-0.11940852049912982,-0.2283769517742918,0.2311547962232803,0.6343593060620694,0.05448606337962579,0.4996355008220622,0.3961602900879191
pauses_count,0.018041593325362596,0.017592375094096724,0.013450299648616907,2.477936412667337,0.0886809486226519,-0.09717732693380429,-0.18585827555645618,0.18721887157402553,0.5193505624405472,0.2567413047291904,0.4046690624228924,0.39358697653087665
metric_time_to_first_movement,0.027374245777442505,0.02245468105807258,0.7857946952155326,0.27188048324901176,0.009819840685671367,-0.010760663745376453,-0.020580504431047822,0.020592431502995286,0.7880030152832864,0.3277012956631366,0.044510042600218624,0.3867381178488805
jerk_mean,0.01853299990742121,0.002433817148773887,0.00037121089430130257,3.5780477107477813,0.12648732376185937,-0.13860586975101943,-0.2650931935128788,0.2692759470404063,0.5334963354982047,0.03551887604182357,0.5820334462319003,0.38368288592397626
first_click_time,0.01886558692938917,0.0,0.0006826276129653029,3.4121586323360984,0.12100701539801484,-0.13260050190321412,-0.253607517301229,0.2571071130504123,0.543070282422098,0.0,0.5557308059045142,0.3662670294422041
metric_hesitation_time,0.02179889642226938,0.0,0.007448129451090831,2.684112701805268,0.09555600916585774,-0.1047110759122873,-0.20026708507814506,0.20233047754431363,0.6275093841946636,0.0,0.4373324332053765,0.35494727246668
time_taken,0.020095434931658454,0.0,0.003237547013724731,2.9545582511389283,0.10527656577480861,-0.11536294333407116,-0.22063950910887975,0.22293774290977575,0.5784730453697047,0.0,0.481874538840513,0.35344919473673925
avg_pause_duration,0.020090800059083237,0.02417513447683417,0.9412734484866108,-0.07369840881049011,-0.0026912750988021634,0.0029491218148551984,0.005640396913657362,0.005612505619066599,0.5783396245772409,0.35280941512375835,0.012131295139298339,0.3144267782800992
y_range,0.017508369331442827,0.023640795946918702,0.5658903052062689,0.5743916539796207,0.020786174541966938,-0.022777664318442543,-0.04356383886040948,0.04355102071611746,0.5040010211802572,0.3450113338184314,0.09413447785782035,0.31438227761883636
metric_hover_time,0.017484275562589576,0.0,0.007448129451090831,2.684112701805268,0.09555600916585774,-0.1047110759122873,-0.20026708507814506,0.20233047754431363,0.5033074509295822,0.0,0.4373324332053765,0.31354662804498623
avg_hesitation_duration,0.02610784574124411,0.005527665993673381,0.5406030973403324,0.6122481929025886,0.022439367699477526,-0.024589247239547085,-0.04702861493902461,0.04671624774440139,0.7515480548364298,0.08067018647181408,0.10097603951836484,0.31106476027553626
trajectory_length,0.015059515725091515,0.0,0.0032379460079669455,2.9545188547898373,0.10527727842197651,-0.11536372425881289,-0.2206410026807894,0.22293704284806032,0.43350760771853036,0.0,0.4818730256740483,0.30512687779752623
curvature_mean,0.024934743108982055,0.0019529152002140115,0.40361150449257266,-0.8357226566760545,-0.03039022177789054,0.033301859792539225,0.06369208157042977,0.0635274029370732,0.7177787806443712,0.028500642684492362,0.13731294483602335,0.29453078938829563
avg_time_between_points,0.02167022892177403,0.00220244703355843,0.39385035249018674,0.8531896894910145,0.03085982933504227,-0.03381645969054156,-0.06467628902558384,0.06468274994104527,0.6238055240341455,0.032142284482239755,0.139810199439364,0.2652526693185831
x_range,0.018560742753122937,0.0,0.13615672545018462,1.4919789694864227,0.05369521540630196,-0.05883966718175617,-0.11253488258805813,0.11288755716537943,0.5342949491383115,0.0,0.24400372426805414,0.25943289113545526
direct_distance,0.020267661711692923,0.007225717413971822,0.7570980438855621,-0.3094163766704643,-0.011190386448250643,0.012262519281615208,0.02345290572986585,0.02345117123345684,0.5834308156433803,0.10545137348112055,0.05068913937989095,0.2465237761681306
direction_changes_x,0.0020130127405402513,0.033505360537323226,0.26776508817407896,1.109110725113634,0.03997791939016267,-0.043808139211974635,-0.08378605860213731,0.08395411256792334,0.05794717130276272,0.48897377038424106,0.18146478361811127,0.24279524176837167
y_std,0.02387217561353935,0.0,0.8573869304577091,-0.17976938237561432,-0.006516657451969197,0.007141007866528833,0.01365766531849803,0.013640516455316377,0.6871914031086279,0.0,0.02948364637885541,0.23889168316249443
std_time_between_points,0.019218364398711666,0.0022006948175203878,0.4508577663674115,-0.7544241104919188,-0.02738494352847645,0.030008650692880688,0.05739359422135713,0.05729380450742738,0.5532254374466505,0.032116712822394616,0.12383917260976475,0.23639377429293662
curvature_std,0.021988063198065864,0.0,0.8671046925434661,-0.16740211652350445,-0.006091316677207797,0.006674915879814043,0.01276623255702184,0.012726044982598226,0.6329547941223367,0.0,0.02750703840997864,0.22015394417743842
direction_changes_y,0.0019553548140207704,0.02011447349915607,0.557118255134015,0.5874132089834998,0.021246739826013855,-0.023282355617727794,-0.044529095443741645,0.04452738962580279,0.05628741342955136,0.2935485483052798,0.09624487563951513,0.14869361245811544
metric_answer_changes,0.0020381555129830742,0.019909657889928933,0.5568561730936391,-0.5878214655438018,-0.021425565197105863,0.02347831395850525,0.044903879155611115,0.04472949719259881,0.05867093847642683,0.2905594904628555,0.09668172625652988,0.14863738506527074
metric_hesitation_count,0.009941186905630388,0.0066839972293946115,0.7359341163402089,0.337377146294182,0.012131661258983198,-0.013293976110143255,-0.025425637369126453,0.025496814606117323,0.2861699029379924,0.09754556507022775,0.05511074804949993,0.14627540535257336
total_direction_changes,0.002655929807691565,0.004940480825163629,0.3223387160810548,0.9903882574940651,0.035931268129769156,-0.03937378483681279,-0.07530505296658194,0.07520514650281293,0.07645436933156827,0.07210086678220547,0.1625541050899691,0.10370311373458095
metric_hover_count,0.0075424760939262715,0.0,0.7359341163402089,0.337377146294182,0.012131661258983198,-0.013293976110143255,-0.025425637369126453,0.025496814606117323,0.21711991457363505,0.0,0.05511074804949993,0.09074355420771167
click_count,0.0015989279983418011,0.0,0.5568561730936393,-0.5878214655438015,-0.02142556519710595,0.02347831395850515,0.0449038791556111,0.0447294971925988,0.04602720725743127,0.0,0.09668172625652985,0.04756964450465371
